County,Under 15,'15 - 24,'25 - 44,'45 - 64,65 and Over,Total for selection
Adair,57,52,71,43,9,232
Andrew,47,28,45,17,12,149
Atchison,45,22,20,30,10,127
Audrain,174,127,178,170,15,664
Barry,267,102,293,120,63,845
Barton,107,59,115,32,8,321
Bates,103,52,103,41,26,325
Benton,60,34,78,70,17,259
Bollinger,40,25,25,11,4,105
Boone,941,639,971,369,115,3035
Buchanan,507,431,744,265,65,2012
Butler,156,100,147,105,21,529
Caldwell,57,36,52,19,9,173
Callaway,281,177,229,132,20,839
Camden,200,101,202,88,52,643
Cape Girardeau,300,162,218,72,24,776
Carroll,50,21,71,34,11,187
Carter,23,10,8,5,1,47
Cass,510,288,556,271,98,1723
Cedar,130,58,119,78,57,442
Chariton,24,9,12,18,8,71
Christian,296,88,263,143,52,842
Clark,2,3,1,2,0,8
Clay,1474,738,1238,583,114,4147
Clinton,141,62,75,29,6,313
Cole,605,353,502,174,30,1664
Cooper,85,35,103,89,37,349
Crawford,158,66,78,52,22,376
Dade,54,13,17,25,8,117
Dallas,57,36,71,41,16,221
Daviess,61,29,20,9,5,124
DeKalb,52,18,35,7,4,116
Dent,102,87,134,112,36,471
Douglas,28,9,13,13,8,71
Dunklin,259,113,245,94,15,726
Franklin,581,342,495,263,50,1731
Gasconade,63,21,29,23,6,142
Gentry,57,23,46,23,40,189
Greene,1429,1030,1851,846,229,5385
Grundy,99,22,68,45,21,255
Harrison,97,27,53,31,31,239
Henry,153,110,215,96,62,636
Hickory,11,6,17,20,9,63
Holt,17,18,17,18,6,76
Howard,56,16,30,25,6,133
Howell,175,123,227,100,61,686
Iron,43,17,25,11,9,105
Jackson,9666,4111,7231,3685,671,25364
Jasper,1109,639,1207,638,161,3754
Jefferson,1549,559,841,346,65,3360
Johnson,242,175,244,95,33,789
Knox,6,5,9,4,2,26
Laclede,195,101,201,71,35,603
Lafayette,192,77,114,78,27,488
Lawrence,265,122,315,170,34,906
Lewis,2,3,19,3,3,30
Lincoln,510,201,291,131,28,1161
Linn,80,30,49,58,18,235
Livingston,104,70,98,89,51,412
Macon,67,38,48,22,4,179
Madison,115,50,98,50,26,339
Maries,16,7,14,13,3,53
Marion,142,99,178,94,24,537
McDonald,139,64,182,92,39,516
Mercer,10,5,6,4,5,30
Miller,130,73,140,49,20,412
Mississippi,102,51,59,38,13,263
Moniteau,74,30,49,30,4,187
Monroe,24,16,17,8,6,71
Montgomery,58,37,51,22,3,171
Morgan,82,33,76,37,17,245
New Madrid,115,76,97,76,21,385
Newton,539,289,528,340,100,1796
Nodaway,89,73,67,57,32,318
Oregon,32,13,28,15,13,101
Osage,33,18,13,14,6,84
Ozark,6,6,19,7,2,40
Pemiscot,214,101,149,97,20,581
Perry,87,91,157,96,39,470
Pettis,227,145,257,119,50,798
Phelps,162,135,168,92,22,579
Pike,103,35,78,58,39,313
Platte,418,196,339,171,32,1156
Polk,137,83,144,108,50,522
Pulaski,134,45,103,41,17,340
Putnam,20,13,24,19,6,82
Ralls,21,17,18,12,4,72
Randolph,140,86,129,83,20,458
Ray,148,90,97,42,16,393
Reynolds,38,8,28,11,7,92
Ripley,70,45,35,33,6,189
Saline,177,99,164,66,20,526
Schuyler,4,7,16,7,1,35
Scotland,27,14,17,5,1,64
Scott,268,157,171,218,42,856
Shannon,36,16,18,19,17,106
Shelby,13,6,9,5,6,39
St. Charles,2957,807,1094,580,125,5563
St. Clair,54,19,58,37,26,194
St. Francois,465,222,360,161,34,1242
St. Louis City,9679,3661,4981,2849,418,21588
St. Louis County,15212,5336,6167,3004,732,30451
Ste. Genevieve,90,23,43,23,11,190
Stoddard,105,50,94,38,16,303
Stone,63,35,128,47,12,285
Sullivan,73,27,37,15,14,166
Taney,182,157,232,127,37,735
Texas,81,28,68,64,20,261
Vernon,182,171,349,171,65,938
Warren,257,68,112,80,18,535
Washington,175,70,142,52,28,467
Wayne,33,12,67,23,2,137
Webster,131,45,81,70,28,355
Worth,7,4,4,7,6,28
Wright,68,18,42,24,9,161
