County,Male,Female,Total
Adair,82,150,232
Andrew,73,76,149
Atchison,53,74,127
Audrain,265,399,664
Barry,369,476,845
Barton,129,192,321
Bates,129,196,325
Benton,98,161,259
Bollinger,55,50,105
Boone,1306,1729,3035
Buchanan,810,1202,2012
Butler,229,300,529
Caldwell,54,119,173
Callaway,398,441,839
Camden,281,362,643
Cape Girardeau,365,411,776
Carroll,46,141,187
Carter,19,28,47
Cass,645,1078,1723
Cedar,172,270,442
Chariton,32,39,71
Christian,425,417,842
Clark,3,5,8
Clay,1780,2367,4147
Clinton,163,150,313
Cole,763,901,1664
Cooper,145,204,349
Crawford,155,221,376
Dade,65,52,117
Dallas,97,124,221
Daviess,53,71,124
DeKalb,53,63,116
Dent,177,294,471
Douglas,42,29,71
Dunklin,313,413,726
Franklin,778,953,1731
Gasconade,61,81,142
Gentry,94,95,189
Greene,2351,3034,5385
Grundy,116,139,255
Harrison,117,122,239
Henry,255,381,636
Hickory,35,28,63
Holt,41,35,76
Howard,57,76,133
Howell,293,393,686
Iron,50,55,105
Jackson,11867,13497,25364
Jasper,1588,2166,3754
Jefferson,1526,1834,3360
Johnson,342,447,789
Knox,7,19,26
Laclede,219,384,603
Lafayette,212,276,488
Lawrence,390,516,906
Lewis,4,26,30
Lincoln,570,591,1161
Linn,92,143,235
Livingston,150,262,412
Macon,68,111,179
Madison,137,202,339
Maries,24,29,53
Marion,185,352,537
McDonald,208,308,516
Mercer,13,17,30
Miller,186,226,412
Mississippi,130,133,263
Moniteau,82,105,187
Monroe,35,36,71
Montgomery,61,110,171
Morgan,108,137,245
New Madrid,184,201,385
Newton,826,970,1796
Nodaway,151,167,318
Oregon,54,47,101
Osage,26,58,84
Ozark,14,26,40
Pemiscot,248,333,581
Perry,165,305,470
Pettis,360,438,798
Phelps,246,333,579
Pike,117,196,313
Platte,484,672,1156
Polk,244,278,522
Pulaski,132,208,340
Putnam,36,46,82
Ralls,30,42,72
Randolph,160,298,458
Ray,154,239,393
Reynolds,46,46,92
Ripley,71,118,189
Saline,258,268,526
Schuyler,7,28,35
Scotland,26,38,64
Scott,345,511,856
Shannon,54,52,106
Shelby,22,17,39
St. Charles,2727,2836,5563
St. Clair,86,108,194
St. Francois,586,656,1242
St. Louis City,10749,10839,21588
St. Louis County,15243,15208,30451
Ste. Genevieve,77,113,190
Stoddard,133,170,303
Stone,122,163,285
Sullivan,70,96,166
Taney,300,435,735
Texas,124,137,261
Vernon,392,546,938
Warren,249,286,535
Washington,190,277,467
Wayne,61,76,137
Webster,147,208,355
Worth,11,17,28
Wright,61,100,161
