StateFIPS,State,CountyFIPS,County,Start Year,End Year,Value,Data Comment,Rural-Urban Continuum Code
29,Missouri,29001,Adair,2006,2010,0.225,,3
29,Missouri,29003,Andrew,2006,2010,-0.078,,1
29,Missouri,29005,Atchison,2006,2010,-0.169,,4
29,Missouri,29007,Audrain,2006,2010,-0.603,,3
29,Missouri,29009,Barry,2006,2010,0.22,,3
29,Missouri,29011,Barton,2006,2010,-0.322,,3
29,Missouri,29013,Bates,2006,2010,-0.167,,1
29,Missouri,29015,Benton,2006,2010,-0.21,,3
29,Missouri,29017,Bollinger,2006,2010,-0.541,,1
29,Missouri,29019,Boone,2006,2010,-0.329,,1
29,Missouri,29021,Buchanan,2006,2010,0.326,,1
29,Missouri,29023,Butler,2006,2010,0.438,,2
29,Missouri,29025,Caldwell,2006,2010,-0.205,,1
29,Missouri,29027,Callaway,2006,2010,-0.688,,1
29,Missouri,29029,Camden,2006,2010,-0.183,,3
29,Missouri,29031,Cape Girardeau,2006,2010,-0.536,,1
29,Missouri,29033,Carroll,2006,2010,0.556,,3
29,Missouri,29035,Carter,2006,2010,-0.661,,4
29,Missouri,29037,Cass,2006,2010,-0.803,,1
29,Missouri,29039,Cedar,2006,2010,0.478,,3
29,Missouri,29041,Chariton,2006,2010,-0.478,,4
29,Missouri,29043,Christian,2006,2010,-0.776,,1
29,Missouri,29045,Clark,2006,2010,-0.268,,4
29,Missouri,29047,Clay,2006,2010,-0.047,,1
29,Missouri,29049,Clinton,2006,2010,1.818,,1
29,Missouri,29051,Cole,2006,2010,0.153,,1
29,Missouri,29053,Cooper,2006,2010,0.152,,3
29,Missouri,29055,Crawford,2006,2010,-0.357,,3
29,Missouri,29057,Dade,2006,2010,-0.357,,4
29,Missouri,29059,Dallas,2006,2010,-0.458,,1
29,Missouri,29061,Daviess,2006,2010,-0.567,,4
29,Missouri,29063,DeKalb,2006,2010,-0.879,,1
29,Missouri,29065,Dent,2006,2010,-0.643,,3
29,Missouri,29067,Douglas,2006,2010,-0.175,,3
