County,Asthma Count,TotalERCount,Race
Adair,8,95,AllOtherRaces
Adair,15,75,Black
Adair,209,4487,White
Andrew,2,29,AllOtherRaces
Andrew,3,4,Black
Andrew,144,1739,White
Atchison,3,19,AllOtherRaces
Atchison,3,5,Black
Atchison,121,1537,White
Audrain,15,86,AllOtherRaces
Audrain,137,697,Black
Audrain,512,5235,White
Barry,0,414,AllOtherRaces
Barry,79,20,Black
Barry,766,9514,White
Barton,0,225,AllOtherRaces
Barton,32,17,Black
Barton,289,3586,White
Bates,4,28,AllOtherRaces
Bates,7,86,Black
Bates,314,4195,White
Benton,0,54,AllOtherRaces
Benton,7,22,Black
Benton,252,3301,White
Bollinger,6,56,AllOtherRaces
Bollinger,0,8,Black
Bollinger,99,2382,White
Boone,119,839,AllOtherRaces
Boone,1097,5799,Black
Boone,1819,18340,White
Buchanan,119,858,AllOtherRaces
Buchanan,303,1421,Black
Buchanan,1590,16550,White
Butler,4,127,AllOtherRaces
Butler,86,756,Black
Butler,439,8936,White
Caldwell,0,39,AllOtherRaces
Caldwell,5,10,Black
Caldwell,168,1990,White
Callaway,19,176,AllOtherRaces
Callaway,134,816,Black
Callaway,686,7736,White
Camden,14,109,AllOtherRaces
Camden,14,61,Black
Camden,615,7221,White
Cape Girardeau,26,537,AllOtherRaces
Cape Girardeau,282,2275,Black
Cape Girardeau,468,12264,White
Carroll,22,281,AllOtherRaces
Carroll,5,85,Black
Carroll,160,2442,White
Carter,1,18,AllOtherRaces
Carter,0,1,Black
Carter,46,1341,White
Cass,69,383,AllOtherRaces
Cass,154,924,Black
Cass,1500,15966,White
Cedar,0,45,AllOtherRaces
Cedar,10,12,Black
Cedar,432,3869,White
Chariton,1,24,AllOtherRaces
Chariton,9,50,Black
Chariton,61,1257,White
Christian,43,474,AllOtherRaces
Christian,31,108,Black
Christian,768,10710,White
Clark,1,7,AllOtherRaces
Clark,0,0,Black
Clark,7,314,White
Clay,316,1986,AllOtherRaces
Clay,654,3427,Black
Clay,3177,33136,White
Clinton,6,30,AllOtherRaces
Clinton,7,61,Black
Clinton,300,3615,White
Cole,37,288,AllOtherRaces
Cole,747,2706,Black
Cole,880,10278,White
Cooper,5,38,AllOtherRaces
Cooper,61,337,Black
Cooper,283,3121,White
Crawford,2,55,AllOtherRaces
Crawford,0,17,Black
Crawford,374,6725,White
Dade,3,30,AllOtherRaces
Dade,0,2,Black
Dade,114,1265,White
Dallas,5,45,AllOtherRaces
Dallas,0,5,Black
Dallas,216,3088,White
Daviess,0,14,AllOtherRaces
Daviess,3,3,Black
Daviess,121,1631,White
DeKalb,1,25,AllOtherRaces
DeKalb,0,10,Black
DeKalb,115,1756,White
Dent,0,34,AllOtherRaces
Dent,4,24,Black
Dent,467,6372,White
Douglas,1,33,AllOtherRaces
Douglas,0,4,Black
Douglas,70,1395,White
Dunklin,29,337,AllOtherRaces
Dunklin,261,1763,Black
Dunklin,436,9069,White
Franklin,37,280,AllOtherRaces
Franklin,58,406,Black
Franklin,1636,22380,White
Gasconade,0,218,AllOtherRaces
Gasconade,8,13,Black
Gasconade,134,3203,White
Gentry,0,8,AllOtherRaces
Gentry,7,2,Black
Gentry,182,1465,White
Greene,292,2151,AllOtherRaces
Greene,497,3262,Black
Greene,4596,57408,White
Grundy,0,31,AllOtherRaces
Grundy,10,18,Black
Grundy,245,3919,White
Harrison,0,32,AllOtherRaces
Harrison,4,27,Black
Harrison,235,2741,White
Henry,3,47,AllOtherRaces
Henry,11,89,Black
Henry,622,5630,White
Hickory,0,7,AllOtherRaces
Hickory,0,2,Black
Hickory,63,1632,White
