County,Under 15,'15 - 24,'25 - 44,'45 - 64,65 and Over,White,Black,American Indian and Alaska Native,Asian/Native Hawaiian and Other Pacific Islander,Some Other Race,Data Unavailable,TotalERVisits,Male,Female
Adair,303,641,1335,1301,1077,4487,75,6,8,64,17,4657,2101,2556
Andrew,149,176,487,482,478,1739,4,0,0,29,0,1772,853,919
Atchison,82,96,206,434,743,1537,5,1,8,9,1,1561,697,864
Audrain,569,638,1524,1755,1532,5235,697,8,7,41,30,6018,2735,3283
Barry,811,817,2320,2970,3030,9514,20,4,17,274,119,9948,4783,5165
Barton,311,315,898,1032,1272,3586,17,4,173,39,9,3828,1708,2120
Bates,358,352,953,1304,1342,4195,86,0,4,22,2,4309,1970,2339
Benton,206,256,791,1040,1084,3301,22,1,3,22,28,3377,1677,1700
Bollinger,212,279,690,708,557,2382,8,0,1,9,46,2446,1229,1217
Boone,1899,3752,8109,7181,4037,18340,5799,44,149,462,184,24978,11362,13616
Buchanan,1615,2211,6044,5570,3389,16550,1421,30,34,789,5,18829,8962,9867
Butler,524,820,2916,3516,2043,8936,756,3,24,75,25,9819,4571,5248
Caldwell,187,242,561,540,509,1990,10,1,2,25,11,2039,1034,1005
Callaway,767,1094,2615,2628,1624,7736,816,2,4,107,63,8728,3999,4729
Camden,826,783,1961,2093,1728,7221,61,4,7,75,23,7391,3517,3874
Cape Girardeau,1406,2249,4672,4125,2624,12264,2275,1,25,112,399,15076,6931,8145
Carroll,169,197,616,739,1087,2442,85,0,1,52,228,2808,1175,1633
Carter,70,88,338,496,368,1341,1,1,2,6,9,1360,636,724
Cass,1308,1635,4760,4994,4576,15966,924,5,57,280,41,17273,7851,9422
Cedar,286,270,790,1040,1540,3869,12,16,5,21,3,3926,1805,2121
Chariton,84,65,245,351,586,1257,50,1,0,11,12,1331,590,741
Christian,1113,1218,3754,2999,2208,10710,108,3,16,188,267,11292,5290,6002
Clark,15,15,58,104,129,314,0,0,0,1,6,321,141,180
Clay,4018,4645,12626,11460,5800,33136,3427,33,286,1531,136,38549,17865,20684
Clinton,375,409,952,994,976,3615,61,0,3,21,6,3706,1783,1923
Cole,1385,1889,4408,3624,1966,10278,2706,17,16,236,19,13272,5975,7297
Cooper,223,263,906,1122,982,3121,337,1,2,9,26,3496,1585,1911
